customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,rfm_segment,cluster
90,443,1,386.8,2,1,4,214,Potential Customers,0
91,327,1,65.34,3,1,1,311,Potential Customers,4
92,405,1,28.31,2,1,1,211,Potential Customers,3
95,273,1,246.6,3,1,3,313,Potential Customers,4
96,51,3,389.98,5,5,4,554,Loyal Customers,1
97,438,1,79.44,2,1,1,211,Potential Customers,3
98,598,1,108.25,1,1,2,112,Potential Customers,3
101,639,1,48.18,1,1,1,111,Lost Customers,3
103,160,2,377.98,4,4,4,444,Potential Customers,1
104,685,1,55.34,1,1,1,111,Lost Customers,3
106,460,1,194.7,2,1,3,213,Potential Customers,3
108,367,1,285.92,2,1,3,213,Potential Customers,4
111,723,1,192.38,1,1,3,113,Potential Customers,3
112,429,2,1460.0699999999997,2,4,5,245,Potential Customers,2
114,63,1,168.70000000000002,5,1,2,512,Potential Customers,4
115,341,1,301.52,3,1,4,314,Potential Customers,4
116,262,1,102.95,3,1,2,312,Potential Customers,4
119,624,1,620.75,1,1,5,115,Potential Customers,0
122,152,3,724.8000000000001,4,5,5,455,Loyal Customers,2
123,574,1,66.65,1,1,1,111,Lost Customers,3
129,118,1,141.17,4,1,2,412,Potential Customers,4
130,387,1,133.52,2,1,2,212,Potential Customers,3
132,192,1,362.19,4,1,4,414,Potential Customers,4
133,185,1,281.79,4,1,3,413,Potential Customers,4
135,276,1,51.64,3,1,1,311,Potential Customers,4
137,660,1,230.72,1,1,3,113,Potential Customers,3
142,543,2,387.1,1,4,4,144,Potential Customers,0
145,25,2,250.28,5,4,3,543,Potential Customers,1
146,169,2,171.89,4,4,2,442,Potential Customers,1
147,282,2,186.32999999999998,3,4,3,343,Potential Customers,1
148,414,1,177.72,2,1,3,213,Potential Customers,3
149,636,1,93.55000000000001,1,1,2,112,Potential Customers,3
150,455,2,778.5,2,4,5,245,Potential Customers,0
152,329,1,317.75,3,1,4,314,Potential Customers,4
153,614,1,409.5,1,1,4,114,Potential Customers,3
156,311,1,51.02,3,1,1,311,Potential Customers,4
161,144,1,222.57,4,1,3,413,Potential Customers,4
166,484,1,68.18,2,1,1,211,Potential Customers,3
167,541,1,158.04,1,1,2,112,Potential Customers,3
168,193,2,369.13,4,4,4,444,Potential Customers,1
170,49,3,853.62,5,5,5,555,High Value Customers,2
172,57,1,758.96,5,1,5,515,Potential Customers,0
174,105,3,966.29,5,5,5,555,High Value Customers,2
175,698,1,142.53,1,1,2,112,Potential Customers,3
177,624,1,118.94999999999999,1,1,2,112,Potential Customers,3
180,473,1,175.39999999999998,2,1,3,213,Potential Customers,3
185,102,3,265.58,5,5,3,553,Potential Customers,1
186,725,1,82.56,1,1,1,111,Lost Customers,3
187,601,1,663.15,1,1,5,115,Potential Customers,0
189,524,1,464.75,2,1,4,214,Potential Customers,0
190,256,2,167.96,3,4,2,342,Potential Customers,1
191,321,2,436.54,3,4,4,344,Potential Customers,1
192,496,1,196.44,2,1,3,213,Potential Customers,3
193,61,2,675.1,5,4,5,545,Potential Customers,1
194,611,1,23.15,1,1,1,111,Lost Customers,3
195,569,2,45.47,1,4,1,141,Potential Customers,3
196,421,1,329.09999999999997,2,1,4,214,Potential Customers,3
198,697,2,98.84,1,4,2,142,Potential Customers,3
199,676,1,141.46,1,1,2,112,Potential Customers,3
202,464,3,364.15999999999997,2,5,4,254,Potential Customers,1
203,1,1,55.78,5,1,1,511,Potential Customers,4
208,710,2,306.97,1,4,4,144,Potential Customers,3
213,395,2,169.5,2,4,2,242,Potential Customers,1
215,31,4,731.65,5,5,5,555,High Value Customers,2
216,487,1,349.59000000000003,2,1,4,214,Potential Customers,3
218,615,1,161.76,1,1,2,112,Potential Customers,3
219,423,1,203.16,2,1,3,213,Potential Customers,3
222,505,1,51.68,2,1,1,211,Potential Customers,3
224,41,1,317.66,5,1,4,514,Potential Customers,4
227,226,2,968.48,4,4,5,445,Potential Customers,2
229,351,1,149.5,3,1,2,312,Potential Customers,4
231,616,1,34.68,1,1,1,111,Lost Customers,3
233,284,1,164.97,3,1,2,312,Potential Customers,4
234,347,1,146.2,3,1,2,312,Potential Customers,4
235,599,1,163.88,1,1,2,112,Potential Customers,3
238,345,1,508.84999999999997,3,1,5,315,Potential Customers,0
239,251,1,386.70000000000005,3,1,4,314,Potential Customers,4
240,605,1,63.39,1,1,1,111,Lost Customers,3
242,160,1,153.91,4,1,2,412,Potential Customers,4
244,37,3,237.57,5,5,3,553,Potential Customers,1
245,223,1,8.19,4,1,1,411,Potential Customers,4
246,252,2,391.71000000000004,3,4,4,344,Potential Customers,1
247,131,2,664.45,4,4,5,445,Potential Customers,1
249,637,1,286.6,1,1,3,113,Potential Customers,3
250,464,1,159.23,2,1,2,212,Potential Customers,3
251,229,1,126.30000000000001,3,1,2,312,Potential Customers,4
252,390,1,257.6,2,1,3,213,Potential Customers,3
253,87,1,230.68,5,1,3,513,Potential Customers,4
254,373,2,421.47,2,4,4,244,Potential Customers,0
260,528,1,219.06,2,1,3,213,Potential Customers,3
261,168,2,104.38999999999999,4,4,2,442,Potential Customers,1
262,730,1,151.47,1,1,2,112,Potential Customers,3
263,153,1,25.04,4,1,1,411,Potential Customers,4
264,35,1,62.37,5,1,1,511,Potential Customers,4
266,481,1,524.34,2,1,5,215,Potential Customers,0
267,207,1,104.74,4,1,2,412,Potential Customers,4
268,191,1,38.94,4,1,1,411,Potential Customers,4
269,294,1,154.8,3,1,2,312,Potential Customers,4
273,49,1,61.22,5,1,1,511,Potential Customers,4
274,365,1,129.95,3,1,2,312,Potential Customers,4
278,519,1,20.38,2,1,1,211,Potential Customers,3
279,520,1,320.85,2,1,4,214,Potential Customers,3
280,352,2,475.44000000000005,3,4,5,345,Potential Customers,0
281,114,2,247.92000000000002,4,4,3,443,Potential Customers,1
283,466,1,67.78,2,1,1,211,Potential Customers,3
284,518,1,296.0,2,1,4,214,Potential Customers,3
285,111,2,834.79,4,4,5,445,Potential Customers,2
286,636,2,486.69999999999993,1,4,5,145,Potential Customers,0
287,285,1,232.2,3,1,3,313,Potential Customers,4
288,75,2,243.51999999999998,5,4,3,543,Potential Customers,1
291,513,1,271.44,2,1,3,213,Potential Customers,3
292,387,1,542.05,2,1,5,215,Potential Customers,0
294,350,2,260.07,3,4,3,343,Potential Customers,1
298,7,3,725.9399999999999,5,5,5,555,High Value Customers,2
299,630,1,172.28,1,1,2,112,Potential Customers,3
300,330,1,40.33,3,1,1,311,Potential Customers,4
301,299,2,324.45000000000005,3,4,4,344,Potential Customers,1
302,363,2,311.35,3,4,4,344,Potential Customers,1
303,508,1,64.56,2,1,1,211,Potential Customers,3
307,81,3,464.70000000000005,5,5,4,554,Loyal Customers,1
309,175,1,419.45,4,1,4,414,Potential Customers,4
313,542,1,195.4,1,1,3,113,Potential Customers,3
314,64,1,122.43,5,1,2,512,Potential Customers,4
315,340,3,386.59000000000003,3,5,4,354,Potential Customers,1
317,354,2,82.57,3,4,1,341,Potential Customers,1
318,479,1,767.05,2,1,5,215,Potential Customers,0
319,215,3,393.1,4,5,4,454,Potential Customers,1
322,382,1,148.64,2,1,2,212,Potential Customers,3
323,110,1,19.42,4,1,1,411,Potential Customers,4
324,410,1,48.96,2,1,1,211,Potential Customers,3
325,457,1,45.0,2,1,1,211,Potential Customers,3
326,243,1,134.32,3,1,2,312,Potential Customers,4
327,686,1,123.14999999999999,1,1,2,112,Potential Customers,3
329,510,1,99.52,2,1,2,212,Potential Customers,3
337,536,1,270.88,1,1,3,113,Potential Customers,3
339,448,1,426.75,2,1,4,214,Potential Customers,0
340,326,1,170.09,3,1,2,312,Potential Customers,4
341,218,1,93.32,4,1,2,412,Potential Customers,4
345,711,1,52.6,1,1,1,111,Lost Customers,3
346,481,1,302.9,2,1,4,214,Potential Customers,3
348,200,1,84.03,4,1,1,411,Potential Customers,4
349,189,1,73.05,4,1,1,411,Potential Customers,4
351,728,1,29.76,1,1,1,111,Lost Customers,3
353,450,1,708.4000000000001,2,1,5,215,Potential Customers,0
356,34,2,180.14999999999998,5,4,3,543,Potential Customers,1
357,481,2,540.0,2,4,5,245,Potential Customers,0
358,122,2,436.99,4,4,4,444,Potential Customers,1
359,167,1,235.85000000000002,4,1,3,413,Potential Customers,4
360,535,1,964.1500000000001,1,1,5,115,Potential Customers,0
361,535,2,354.0,1,4,4,144,Potential Customers,0
362,376,3,777.61,2,5,5,255,Potential Customers,2
363,8,1,41.59,5,1,1,511,Potential Customers,4
365,625,1,155.64,1,1,2,112,Potential Customers,3
366,52,2,743.28,5,4,5,545,Potential Customers,2
370,334,2,135.29,3,4,2,342,Potential Customers,1
371,182,1,298.92,4,1,4,414,Potential Customers,4
372,78,1,78.36,5,1,1,511,Potential Customers,4
373,33,2,99.66999999999999,5,4,2,542,Potential Customers,1
374,192,2,297.28,4,4,4,444,Potential Customers,1
375,556,1,118.84,1,1,2,112,Potential Customers,3
376,281,1,265.24,3,1,3,313,Potential Customers,4
378,725,1,240.16,1,1,3,113,Potential Customers,3
379,75,1,65.87,5,1,1,511,Potential Customers,4
382,487,1,157.26,2,1,2,212,Potential Customers,3
383,188,1,96.72,4,1,2,412,Potential Customers,4
385,711,1,304.04,1,1,4,114,Potential Customers,3
386,124,2,306.81,4,4,4,444,Potential Customers,1
388,556,1,78.12,1,1,1,111,Lost Customers,3
389,726,1,233.28000000000003,1,1,3,113,Potential Customers,3
391,575,1,420.65999999999997,1,1,4,114,Potential Customers,0
392,696,1,112.5,1,1,2,112,Potential Customers,3
394,152,2,360.04999999999995,4,4,4,444,Potential Customers,1
395,71,1,69.92999999999999,5,1,1,511,Potential Customers,4
396,138,1,25.33,4,1,1,411,Potential Customers,4
399,245,1,81.15,3,1,1,311,Potential Customers,4
400,374,1,79.95,2,1,1,211,Potential Customers,3
402,564,1,437.76,1,1,4,114,Potential Customers,0
404,297,1,43.46,3,1,1,311,Potential Customers,4
405,483,1,930.04,2,1,5,215,Potential Customers,0
407,57,3,657.3,5,5,5,555,High Value Customers,2
411,194,1,224.3,4,1,3,413,Potential Customers,4
413,411,1,178.88,2,1,3,213,Potential Customers,3
414,52,2,134.61,5,4,2,542,Potential Customers,1
417,43,1,371.85,5,1,4,514,Potential Customers,4
418,182,1,115.9,4,1,2,412,Potential Customers,4
419,53,2,98.09,5,4,2,542,Potential Customers,1
421,150,1,116.9,4,1,2,412,Potential Customers,4
422,19,3,707.95,5,5,5,555,High Value Customers,2
423,45,2,246.73999999999998,5,4,3,543,Potential Customers,1
424,543,2,540.54,1,4,5,145,Potential Customers,0
431,94,3,297.51,5,5,4,554,Loyal Customers,1
433,29,2,315.35,5,4,4,544,Potential Customers,1
434,373,2,283.84,2,4,3,243,Potential Customers,1
435,224,2,308.69,4,4,4,444,Potential Customers,1
436,330,2,164.66,3,4,2,342,Potential Customers,1
438,152,2,936.5000000000001,4,4,5,445,Potential Customers,2
439,345,1,137.64,3,1,2,312,Potential Customers,4
443,612,1,281.31,1,1,3,113,Potential Customers,3
444,399,2,137.32,2,4,2,242,Potential Customers,1
446,10,4,571.47,5,5,5,555,High Value Customers,2
447,525,1,240.99,2,1,3,213,Potential Customers,3
448,16,3,482.6,5,5,5,555,High Value Customers,1
449,427,1,63.21,2,1,1,211,Potential Customers,3
453,75,1,360.0,5,1,4,514,Potential Customers,4
457,681,1,200.6,1,1,3,113,Potential Customers,3
458,320,1,45.32,3,1,1,311,Potential Customers,4
460,612,1,32.81,1,1,1,111,Lost Customers,3
463,225,2,429.52,4,4,4,444,Potential Customers,1
464,501,2,110.64,2,4,2,242,Potential Customers,3
465,141,1,69.9,4,1,1,411,Potential Customers,4
466,590,1,203.82,1,1,3,113,Potential Customers,3
467,361,1,159.87,3,1,2,312,Potential Customers,4
468,381,2,196.27,2,4,3,243,Potential Customers,1
471,186,1,401.25,4,1,4,414,Potential Customers,4
472,619,1,436.32,1,1,4,114,Potential Customers,0
475,12,4,773.6800000000001,5,5,5,555,High Value Customers,2
480,197,2,411.49,4,4,4,444,Potential Customers,1
482,196,2,45.169999999999995,4,4,1,441,Potential Customers,1
483,78,1,13.440000000000001,5,1,1,511,Potential Customers,4
484,187,1,125.60999999999999,4,1,2,412,Potential Customers,4
485,90,1,359.34000000000003,5,1,4,514,Potential Customers,4
486,496,2,318.21000000000004,2,4,4,244,Potential Customers,0
488,185,2,130.28,4,4,2,442,Potential Customers,1
489,249,1,82.15,3,1,1,311,Potential Customers,4
490,589,1,258.54,1,1,3,113,Potential Customers,3
491,224,2,137.54,4,4,2,442,Potential Customers,1
492,680,1,223.92,1,1,3,113,Potential Customers,3
493,87,1,167.86,5,1,2,512,Potential Customers,4
495,632,1,68.76,1,1,1,111,Lost Customers,3
496,704,1,189.72,1,1,3,113,Potential Customers,3
497,413,1,297.95000000000005,2,1,4,214,Potential Customers,3
500,327,2,671.64,3,4,5,345,Potential Customers,0
501,515,1,39.54,2,1,1,211,Potential Customers,3
504,66,1,608.12,5,1,5,515,Potential Customers,4
505,698,1,81.15,1,1,1,111,Lost Customers,3
506,490,1,84.22,2,1,1,211,Potential Customers,3
509,28,2,358.32000000000005,5,4,4,544,Potential Customers,1
510,610,1,275.4,1,1,3,113,Potential Customers,3
511,533,1,186.98,1,1,3,113,Potential Customers,3
516,129,2,158.76,4,4,2,442,Potential Customers,1
517,512,1,487.29999999999995,2,1,5,215,Potential Customers,0
518,564,1,69.16,1,1,1,111,Lost Customers,3
519,179,2,114.55000000000001,4,4,2,442,Potential Customers,1
522,31,2,397.5,5,4,4,544,Potential Customers,1
526,495,1,410.08,2,1,4,214,Potential Customers,0
528,666,1,469.92,1,1,4,114,Potential Customers,0
531,85,2,182.5,5,4,3,543,Potential Customers,1
532,95,1,637.5,5,1,5,515,Potential Customers,4
533,674,1,72.52,1,1,1,111,Lost Customers,3
536,247,1,116.21,3,1,2,312,Potential Customers,4
538,184,1,787.92,4,1,5,415,Potential Customers,0
539,561,4,2028.9,1,5,5,155,At Risk Customers,2
540,302,2,567.54,3,4,5,345,Potential Customers,0
542,583,1,307.59000000000003,1,1,4,114,Potential Customers,3
543,629,1,264.99,1,1,3,113,Potential Customers,3
545,398,1,204.78000000000003,2,1,3,213,Potential Customers,3
548,74,2,891.98,5,4,5,545,Potential Customers,2
551,626,2,369.49,1,4,4,144,Potential Customers,0
552,607,1,156.48,1,1,2,112,Potential Customers,3
553,228,1,91.84,4,1,2,412,Potential Customers,4
555,547,1,76.42,1,1,1,111,Lost Customers,3
556,627,1,251.75,1,1,3,113,Potential Customers,3
558,203,1,64.89,4,1,1,411,Potential Customers,4
559,710,1,151.34,1,1,2,112,Potential Customers,3
560,386,1,378.68,2,1,4,214,Potential Customers,0
562,645,1,58.9,1,1,1,111,Lost Customers,3
565,724,1,46.49,1,1,1,111,Lost Customers,3
568,644,2,398.02000000000004,1,4,4,144,Potential Customers,0
569,187,4,907.6899999999999,4,5,5,455,Loyal Customers,2
570,103,1,199.56,5,1,3,513,Potential Customers,4
571,297,1,84.5,3,1,1,311,Potential Customers,4
580,715,1,23.61,1,1,1,111,Lost Customers,3
583,556,1,237.2,1,1,3,113,Potential Customers,3
584,183,1,74.80000000000001,4,1,1,411,Potential Customers,4
585,11,3,665.82,5,5,5,555,High Value Customers,2
587,35,1,593.1,5,1,5,515,Potential Customers,4
588,158,2,155.37,4,4,2,442,Potential Customers,1
589,262,1,31.86,3,1,1,311,Potential Customers,4
590,66,1,71.0,5,1,1,511,Potential Customers,4
592,157,1,591.4,4,1,5,415,Potential Customers,4
594,236,1,89.57,3,1,1,311,Potential Customers,4
595,227,2,412.67,4,4,4,444,Potential Customers,1
597,593,2,482.43999999999994,1,4,5,145,Potential Customers,0
599,229,1,69.55,3,1,1,311,Potential Customers,4
601,709,1,119.46000000000001,1,1,2,112,Potential Customers,3
602,173,3,237.03,4,5,3,453,Potential Customers,1
605,350,2,845.64,3,4,5,345,Potential Customers,0
607,222,2,622.39,4,4,5,445,Potential Customers,1
611,82,3,276.07,5,5,3,553,Potential Customers,1
612,83,2,401.03,5,4,4,544,Potential Customers,1
615,168,1,133.0,4,1,2,412,Potential Customers,4
618,233,2,106.66999999999999,3,4,2,342,Potential Customers,1
620,159,2,283.93,4,4,3,443,Potential Customers,1
621,168,2,121.97,4,4,2,442,Potential Customers,1
622,496,1,251.35000000000002,2,1,3,213,Potential Customers,3
623,385,1,55.89,2,1,1,211,Potential Customers,3
624,200,3,771.02,4,5,5,455,Loyal Customers,2
628,470,1,429.92,2,1,4,214,Potential Customers,0
631,475,2,525.59,2,4,5,245,Potential Customers,0
632,692,1,37.1,1,1,1,111,Lost Customers,3
634,401,1,89.39999999999999,2,1,1,211,Potential Customers,3
637,713,2,270.54,1,4,3,143,Potential Customers,3
640,194,1,247.29000000000002,4,1,3,413,Potential Customers,4
641,128,4,921.3499999999999,4,5,5,455,Loyal Customers,2
649,499,1,8.91,2,1,1,211,Potential Customers,3
650,378,1,103.25,2,1,2,212,Potential Customers,3
651,400,1,55.97,2,1,1,211,Potential Customers,3
653,516,1,511.55,2,1,5,215,Potential Customers,0
655,338,1,41.12,3,1,1,311,Potential Customers,4
657,507,1,61.59,2,1,1,211,Potential Customers,3
658,707,1,387.64,1,1,4,114,Potential Customers,3
660,39,1,93.76,5,1,2,512,Potential Customers,4
661,621,1,112.84,1,1,2,112,Potential Customers,3
663,446,1,148.64,2,1,2,212,Potential Customers,3
664,153,1,239.32,4,1,3,413,Potential Customers,4
665,32,1,52.94,5,1,1,511,Potential Customers,4
666,539,1,135.15,1,1,2,112,Potential Customers,3
667,389,1,139.56,2,1,2,212,Potential Customers,3
668,336,1,142.56,3,1,2,312,Potential Customers,4
669,339,1,106.25,3,1,2,312,Potential Customers,4
672,399,1,148.84,2,1,2,212,Potential Customers,3
674,184,1,112.47,4,1,2,412,Potential Customers,4
676,528,2,223.22,2,4,3,243,Potential Customers,3
681,257,1,79.56,3,1,1,311,Potential Customers,4
682,698,1,119.85000000000001,1,1,2,112,Potential Customers,3
683,58,2,394.84000000000003,5,4,4,544,Potential Customers,1
685,580,1,363.8,1,1,4,114,Potential Customers,3
686,34,2,718.96,5,4,5,545,Potential Customers,2
687,53,1,158.56,5,1,2,512,Potential Customers,4
688,420,2,230.64999999999998,2,4,3,243,Potential Customers,1
689,336,1,273.75,3,1,3,313,Potential Customers,4
692,125,1,124.55,4,1,2,412,Potential Customers,4
693,439,1,25.14,2,1,1,211,Potential Customers,3
695,288,1,189.85,3,1,3,313,Potential Customers,4
696,225,1,6.42,4,1,1,411,Potential Customers,4
698,178,3,731.1500000000001,4,5,5,455,Loyal Customers,2
700,12,2,872.3499999999999,5,4,5,545,Potential Customers,2
701,440,1,213.05,2,1,3,213,Potential Customers,3
702,184,2,462.09000000000003,4,4,4,444,Potential Customers,1
705,211,1,66.16,4,1,1,411,Potential Customers,4
706,351,1,193.74,3,1,3,313,Potential Customers,4
707,235,2,115.59,3,4,2,342,Potential Customers,1
709,412,1,544.0,2,1,5,215,Potential Customers,0
710,49,1,69.34,5,1,1,511,Potential Customers,4
711,3,1,187.15,5,1,3,513,Potential Customers,4
713,10,1,81.66,5,1,1,511,Potential Customers,4
714,414,1,530.7,2,1,5,215,Potential Customers,0
715,473,1,174.24,2,1,2,212,Potential Customers,3
717,33,1,82.4,5,1,1,511,Potential Customers,4
718,354,3,922.3599999999999,3,5,5,355,Potential Customers,2
719,393,1,470.04,2,1,4,214,Potential Customers,0
720,113,1,68.96,4,1,1,411,Potential Customers,4
723,167,1,130.72,4,1,2,412,Potential Customers,4
724,275,2,537.6800000000001,3,4,5,345,Potential Customers,1
726,553,1,67.68,1,1,1,111,Lost Customers,3
727,358,2,668.49,3,4,5,345,Potential Customers,0
728,305,3,182.47000000000003,3,5,3,353,Potential Customers,1
729,41,1,105.0,5,1,2,512,Potential Customers,4
730,382,1,174.84,2,1,3,213,Potential Customers,3
734,31,3,361.58,5,5,4,554,Loyal Customers,1
736,410,3,220.66,2,5,3,253,Potential Customers,1
738,79,1,106.08,5,1,2,512,Potential Customers,4
740,28,2,246.24,5,4,3,543,Potential Customers,1
741,594,1,427.55,1,1,4,114,Potential Customers,0
742,381,1,144.0,2,1,2,212,Potential Customers,3
743,226,1,130.44,4,1,2,412,Potential Customers,4
744,663,1,234.24,1,1,3,113,Potential Customers,3
745,398,1,325.6,2,1,4,214,Potential Customers,3
748,250,1,103.53,3,1,2,312,Potential Customers,4
750,46,1,117.72,5,1,2,512,Potential Customers,4
751,486,1,300.4,2,1,4,214,Potential Customers,3
758,579,1,239.72,1,1,3,113,Potential Customers,3
759,679,1,277.42,1,1,3,113,Potential Customers,3
760,137,1,110.36,4,1,2,412,Potential Customers,4
764,484,1,38.68,2,1,1,211,Potential Customers,3
766,375,1,147.46,2,1,2,212,Potential Customers,3
767,255,2,133.62,3,4,2,342,Potential Customers,1
768,331,1,48.39,3,1,1,311,Potential Customers,4
769,54,1,39.56,5,1,1,511,Potential Customers,4
770,125,1,247.7,4,1,3,413,Potential Customers,4
771,521,1,127.85999999999999,2,1,2,212,Potential Customers,3
772,324,1,298.8,3,1,4,314,Potential Customers,4
774,464,1,13.74,2,1,1,211,Potential Customers,3
777,689,1,319.15,1,1,4,114,Potential Customers,3
778,435,1,22.87,2,1,1,211,Potential Customers,3
779,396,1,91.68,2,1,2,212,Potential Customers,3
780,291,2,528.11,3,4,5,345,Potential Customers,1
782,111,1,105.1,4,1,2,412,Potential Customers,4
783,233,2,473.87,3,4,5,345,Potential Customers,1
784,98,1,47.76,5,1,1,511,Potential Customers,4
787,495,1,289.65,2,1,4,214,Potential Customers,3
789,539,1,250.35000000000002,1,1,3,113,Potential Customers,3
791,135,1,531.28,4,1,5,415,Potential Customers,4
792,351,1,139.26,3,1,2,312,Potential Customers,4
793,85,4,357.55,5,5,4,554,Loyal Customers,2
797,170,2,924.87,4,4,5,445,Potential Customers,2
799,378,2,367.76,2,4,4,244,Potential Customers,1
800,328,1,263.61,3,1,3,313,Potential Customers,4
801,628,1,176.39999999999998,1,1,3,113,Potential Customers,3
802,391,1,18.1,2,1,1,211,Potential Customers,3
804,704,1,244.04,1,1,3,113,Potential Customers,3
805,225,1,51.09,4,1,1,411,Potential Customers,4
806,497,2,1022.28,2,4,5,245,Potential Customers,0
807,97,2,752.8199999999999,5,4,5,545,Potential Customers,2
809,394,1,10.56,2,1,1,211,Potential Customers,3
810,13,2,204.26999999999998,5,4,3,543,Potential Customers,1
811,635,2,364.52,1,4,4,144,Potential Customers,0
812,454,2,433.25,2,4,4,244,Potential Customers,0
813,470,1,316.74,2,1,4,214,Potential Customers,3
816,340,1,166.35000000000002,3,1,2,312,Potential Customers,4
817,319,2,146.5,3,4,2,342,Potential Customers,1
819,527,1,286.1,2,1,3,213,Potential Customers,3
821,360,1,255.95999999999998,3,1,3,313,Potential Customers,4
824,6,1,214.89999999999998,5,1,3,513,Potential Customers,4
825,45,1,134.6,5,1,2,512,Potential Customers,4
826,363,1,151.4,3,1,2,312,Potential Customers,4
827,656,1,137.18,1,1,2,112,Potential Customers,3
828,384,1,182.97,2,1,3,213,Potential Customers,3
830,20,3,677.31,5,5,5,555,High Value Customers,2
831,392,1,19.33,2,1,1,211,Potential Customers,3
835,388,1,156.32,2,1,2,212,Potential Customers,3
836,169,3,547.1,4,5,5,455,Loyal Customers,2
838,146,2,397.44,4,4,4,444,Potential Customers,1
840,403,1,117.66,2,1,2,212,Potential Customers,3
842,288,2,574.12,3,4,5,345,Potential Customers,0
843,94,2,575.95,5,4,5,545,Potential Customers,1
844,1,2,416.01,5,4,4,544,Potential Customers,1
846,59,3,332.71999999999997,5,5,4,554,Loyal Customers,1
847,648,1,116.67,1,1,2,112,Potential Customers,3
848,76,3,441.87,5,5,4,554,Loyal Customers,1
850,662,1,83.18,1,1,1,111,Lost Customers,3
853,80,2,504.33000000000004,5,4,5,545,Potential Customers,1
854,652,1,391.79999999999995,1,1,4,114,Potential Customers,3
855,6,2,388.61,5,4,4,544,Potential Customers,1
856,261,2,201.49999999999997,3,4,3,343,Potential Customers,1
857,721,1,348.27,1,1,4,114,Potential Customers,3
859,22,2,802.6800000000001,5,4,5,545,Potential Customers,2
860,144,1,96.52,4,1,2,412,Potential Customers,4
862,126,4,1482.5,4,5,5,455,Loyal Customers,2
863,184,3,241.31,4,5,3,453,Potential Customers,1
865,657,1,67.3,1,1,1,111,Lost Customers,3
870,35,3,760.01,5,5,5,555,High Value Customers,2
871,80,1,236.9,5,1,3,513,Potential Customers,4
874,262,1,40.56,3,1,1,311,Potential Customers,4
875,59,1,26.0,5,1,1,511,Potential Customers,4
877,630,1,308.45,1,1,4,114,Potential Customers,3
879,187,2,45.16,4,4,1,441,Potential Customers,1
880,602,1,12.419999999999998,1,1,1,111,Lost Customers,3
